timestamp,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped
1771167167,733278289539,1668118165701,9439994823,16970509252,0,6
1771167197,733292813895,1668137988552,9440214052,16970809513,0,6
1771167227,733307235160,1668157806192,9440431782,16971109829,0,6
1771167257,733321854702,1668177633198,9440652415,16971410091,0,6
1771167287,733336501733,1668197463537,9440873515,16971710405,0,6
1771167318,733351103129,1668217278108,9441093969,16972010540,0,6
1771167348,733365633266,1668237101193,9441313238,16972310932,0,6
1771167378,733380129506,1668256918530,9441532062,16972611053,0,6
1771167408,733394468144,1668276736002,9441748528,16972911239,0,6
1771167438,733408756359,1668296559087,9441964150,16973211439,0,6
1771167468,733472329224,1668481956869,9442972106,16975801082,0,6
1771167498,733824735009,1669023802688,9448619565,16980538436,0,6
1771167528,734050889538,1669397795873,9452386501,16984014708,0,6
1771167558,734056228816,1669446624037,9452474512,16984447144,0,6
1771167588,734056360804,1669446729919,9452476216,16984448520,0,6
1771167618,734056393920,1669446740962,9452476342,16984448610,0,6
1771167648,734056424111,1669446752095,9452476409,16984448701,0,6
1771167678,734056454290,1669446763492,9452476473,16984448793,0,6
1771167708,734056486728,1669446776911,9452476531,16984448898,0,6
1771167738,734056515696,1669446788557,9452476578,16984448991,0,6
1771167768,734056888976,1669543255177,9452481476,16984513616,0,6
1771167798,734057093020,1669550993886,9452483840,16984519331,0,6
1771167828,734057297853,1669558801895,9452486204,16984525094,0,6
1771167858,734058172048,1669809937404,9452498221,16984693893,0,6
1771167888,734058338072,1669817675360,9452500079,16984699607,0,6
1771167918,734058507984,1669825012122,9452501922,16984705026,0,6
1771167948,734068600443,1669841415321,9452654086,16984953449,0,6
1771167978,734082918418,1669861245660,9452870249,16985253829,0,6
1771168008,734097194039,1669881075777,9453085783,16985554207,0,6
1771168038,734111453177,1669900889559,9453300997,16985854332,0,6
1771168068,734125816420,1669920720092,9453517838,16986154714,0,6
1771168098,734140072041,1669940550485,9453733056,16986455093,0,6
1771168128,734154443810,1669960364042,9453949987,16986755473,0,6
1771168158,734168829696,1669980186065,9454167157,16987055469,0,6
1771168188,734183305642,1670000016014,9454385679,16987355846,0,6
1771168218,734197796724,1670019846929,9454604506,16987656229,0,6
1771168248,734212210288,1670039660108,9454822046,16987956543,0,6
1771168278,734226723736,1670059491944,9455041131,16988256742,0,6
1771168308,734241924041,1670171852450,9455282656,16990035200,0,6
1771168339,734544244326,1670670471676,9460322517,16994592553,0,6
1771168369,734851540695,1671209129278,9465442268,16999175866,0,6
1771168399,734888987126,1671391034017,9466065121,17000853818,0,6
1771168429,734889102990,1671392132092,9466066625,17000865985,0,6
1771168459,734889137291,1671392145166,9466066701,17000866092,0,6
1771168489,734889165847,1671392156209,9466066751,17000866182,0,6
1771168519,734889194828,1671392167525,9466066798,17000866274,0,6
1771168549,734889224391,1671392179249,9466066845,17000866368,0,6
1771168579,734889252242,1671392190124,9466066890,17000866456,0,6
1771168609,734889304466,1671393680461,9466067170,17000867556,0,6
1771168639,734890451437,1671748514110,9466083056,17001105557,0,6
1771168669,734890626592,1671756322460,9466085046,17001111330,0,6
1771168699,734890797019,1671764058589,9466086944,17001117013,0,6
1771168729,734899908577,1671778826810,9466224147,17001340488,0,6
1771168759,734914487318,1671798657083,9466444221,17001640866,0,6
1771168789,734929000634,1671818488763,9466663193,17001941258,0,6
1771168819,734943628947,1671838302203,9466883851,17002241638,0,6
1771168849,734958226600,1671858132857,9467104158,17002541763,0,6
1771168879,734972921606,1671877963775,9467325888,17002842150,0,6
1771168909,734987781299,1671897794453,9467550215,17003142531,0,6
1771168939,735002669443,1671917608130,9467774880,17003442913,0,6
1771168969,735017467926,1671937439035,9467998185,17003743108,0,6
1771168999,735032323507,1671957269713,9468222413,17004043425,0,6
1771169029,735047203314,1671977100286,9468446961,17004343807,0,6
1771169059,735062071778,1671996913696,9468671282,17004644183,0,6
1771169089,735079838396,1672112015134,9468949363,17006456532,0,6
1771169119,735391346467,1672586542446,9473875793,17010808247,0,6
1771169149,735703597423,1673100410203,9479060732,17015205877,0,6
1771169179,735770254529,1673304604931,9480170510,17016982632,0,6
1771169209,735771334872,1673305716564,9480188066,17016994242,0,6
1771169239,735771822421,1673305727928,9480195756,17016994335,0,6
1771169269,735771945912,1673305738803,9480197395,17016994423,0,6
1771169299,735771984988,1673305750217,9480197610,17016994516,0,6
1771169329,735772018873,1673305762937,9480197672,17016994621,0,6
1771169359,735772046067,1673305773551,9480197716,17016994707,0,6
1771169390,735772077455,1673305787994,9480197766,17016994808,0,6
1771169420,735772602599,1673408512440,9480204806,17017064161,0,6
1771169450,735772783293,1673416248119,9480206900,17017069841,0,6
1771169480,735773621912,1673667101032,9480218347,17017237984,0,6
1771169510,735777254277,1673820531725,9480253080,17017375505,0,6
1771169540,735782120622,1674007643767,9480299272,17017547928,0,6
1771169570,735786970765,1674194723188,9480345305,17017720300,0,6
1771169600,735791814929,1674382034967,9480391357,17017893166,0,6
1771169630,735796687957,1674569298232,9480437272,17018065319,0,6
1771169660,735801544243,1674756538148,9480483050,17018237496,0,6
1771169690,735806396461,1674943836688,9480529278,17018410247,0,6
1771169720,735811195879,1675131094379,9480575055,17018582606,0,6
1771169750,735816022416,1675318348945,9480621039,17018754908,0,6
1771169780,735820852471,1675505629761,9480667069,17018927459,0,6
1771169810,735825665086,1675692791710,9480713014,17019099604,0,6
1771169840,735830498019,1675880078641,9480758992,17019272175,0,6
1771169870,735835393558,1676067259696,9480805221,17019444427,0,6
1771169900,735840277079,1676254548342,9480851291,17019617003,0,6
1771169930,735845174662,1676441823575,9480897501,17019789407,0,6
1771169960,735850040220,1676629108154,9480943734,17019961945,0,6
1771169990,735854945692,1676816318314,9480989996,17020134536,0,6
1771170020,735859778032,1677003528513,9481035872,17020307181,0,6
1771170050,735864649371,1677190648102,9481082061,17020479581,0,6
1771170080,735869496763,1677377943986,9481127950,17020652181,0,6
1771170110,735874371488,1677565239332,9481174366,17020824684,0,6
1771170140,735879255879,1677752522145,9481220543,17020997215,0,6
1771170170,735884083708,1677939790920,9481266464,17021169587,0,6
1771170200,735888916635,1678126874503,9481312418,17021341640,0,6
1771170230,735893757013,1678314166336,9481358185,17021514204,0,6
1771170260,735898578199,1678501443458,9481404051,17021686615,0,6
1771170290,735915703822,1678528512690,9481423583,17021714647,0,6
1771170320,735952410698,1678584539516,9481460174,17021768798,0,6
1771170350,735989352489,1678643358096,9481497280,17021825687,0,6
1771170380,736025875694,1678701483503,9481534002,17021881808,0,6
1771170410,736062601024,1678760202478,9481570792,17021938469,0,6
1771170440,736099080019,1678818431329,9481607388,17021994548,0,6
1771170471,736135489755,1678875169407,9481643606,17022048951,0,6
1771170501,736172338742,1678933491130,9481680530,17022105430,0,6
1771170531,736208997329,1678991733112,9481717148,17022161374,0,6
1771170561,736245524697,1679049537930,9481753630,17022216783,0,6
1771170591,736282659218,1679106847385,9481790851,17022272520,0,6
1771170621,736319140883,1679164245344,9481827260,17022327781,0,6
1771170651,736355459315,1679223143217,9481863635,17022384170,0,6
1771170681,736392418281,1679279561384,9481900766,17022438901,0,6
1771170711,736429154568,1679337283763,9481937658,17022494894,0,6
1771170741,736466022864,1679394477644,9481974474,17022550017,0,6
1771170771,736503465192,1679451753603,9482012229,17022606035,0,6
1771170801,736540206420,1679509828785,9482049005,17022661799,0,6
1771170831,736576945163,1679567640749,9482085991,17022717879,0,6
1771170861,736614356169,1679625800823,9482124637,17022775537,0,6
1771170891,736651381425,1679683382881,9482161869,17022831363,0,6
1771170921,736688060031,1679740654944,9482198506,17022886706,0,6
1771170951,736724303010,1679797948929,9482234626,17022941586,0,6
1771170981,736760820002,1679856701141,9482271221,17022998001,0,6
1771171011,736797725264,1679915528208,9482308293,17023054735,0,6
1771171041,736834768875,1679974350175,9482345455,17023111566,0,6
1771171071,736871643048,1680032622970,9482382267,17023167453,0,6
1771171101,736908321165,1680090246328,9482419103,17023223119,0,6
1771171131,736944940530,1680147619731,9482455920,17023278569,0,6
1771171161,736981424366,1680205223215,9482492315,17023333992,0,6
1771171191,737017819607,1680263371599,9482528754,17023389845,0,6
1771171221,737054612111,1680320935439,9482565769,17023445717,0,6
1771171251,737091260503,1680377919351,9482602546,17023500913,0,6
1771171281,737128464227,1680437111630,9482639951,17023558340,0,6
1771171311,737165125314,1680494976734,9482676723,17023614294,0,6
