fingerprint,nr_pops,count
pop3s,61,1
dns,50,1
quic-doq,34,1
imaps,61,1
http,50,1
memcached,57,1
tls,16,1
smtp,61,1
ntp,63,1
quic-doq,25,1
ntp,29,1
ftp,24,1
smtp,11,2
ntp,28,2
smb,59,1
ssh,27,1
quic-h3,30,2
ssh,62,1
mysql,3,4
mongodb,59,1
quic-h3,39,1
rdp,6,1
ftps,5,1
amqp,28,1
vnc,9,2
smb,3,2
https,27,1
mongodb,58,1
mongodb,8,1
postgres,28,1
quic-h3,34,1
http,27,1
tls,24,1
quic-doq,5,1
amqp,8,1
telnet,4,1
mssql,29,1
mongodb,28,1
oracle,2,1
ssh,53,1
quic-h3,26,1
https,40,1
ntp,34,1
mysql,28,1
mssql,11,2
https,48,1
tls,21,1
bgp,6,1
quic-h3,50,1
rtsp,57,2
rdp,10,1
smtps,61,1
bgp,29,2
smtp,28,2
mqtt,8,1
ssh,30,1
ntp,27,1
amqp,55,1
pptp,12,1
ssh,26,1
pop3,61,1
quic-doq,14,1
ntp,22,1
http,80,1
pop3,60,1
