fingerprint,nr_pops,count
mysql,56,6
imaps,58,4
ftps,78,1
vnc,19,1
smtps,65,1
ftp,10,1
amqps,63,1
amqps,79,1
postgres,64,3
ntp,28,2
siemens,57,1
mssql,78,2
amqps,62,1
pop3s,59,2
mongodb,79,1
imap,65,1
mqtt,66,3
telnet,19,1
ssh,28,2
http,31,3
mongodb,59,1
dns,37,1
amqps,58,4
imaps,65,3
https,72,3
quic-h3,34,3
smtps,10,1
pop3,59,1
imaps,10,1
pop3s,18,2
http,40,1
imap,59,1
ntp,40,1
tls,12,2
pop3,18,3
redis,19,7
https,37,1
quic-h3,31,3
dns,74,4
dns,32,3
https,31,3
rdp,78,7
pop3,10,1
pop3,65,1
smtp,10,2
smtps,59,2
rtsp,77,1
http,37,1
imap,58,3
imaps,59,2
ftp,11,1
ntp,3,1
amqp,18,1
quic-h3,28,6
dns,28,3
mssql,63,2
smtps,57,2
mqtt,80,1
quic-h3,41,2
siemens,79,1
quic-doq,2,1
postgres,66,1
http,41,1
mssql,66,2
dns,82,1
imap,57,3
quic-doq,8,2
pop3s,58,2
imaps,57,2
quic-doq,58,1
ftp,65,1
ntp,78,5
imap,18,1
https,8,7
tls,41,1
pop3s,57,2
https,28,4
redis,66,1
dns,13,2
pop3,57,3
rdp,61,1
mqtt,75,1
ftp,18,2
pop3,58,2
https,34,2
ftp,75,1
http,34,2
ftp,62,1
dns,41,2
http,28,7
ssh,73,1
quic-doq,78,1
ssh,74,2
postgres,62,2
imaps,74,1
tls,3,2
siemens,77,1
imaps,17,1
ssh,6,2
smtps,74,1
ssh,5,4
amqp,60,2
pop3,81,1
rtsp,58,1
rdp,66,1
tls,28,4
ftps,59,1
ftps,75,1
mysql,63,1
mssql,20,3
dns,29,1
amqp,63,2
quic-doq,29,1
smtp,81,1
mssql,19,1
pop3s,74,1
smtp,74,1
rtsp,57,2
smtp,17,1
rdp,81,1
rdp,79,3
mssql,81,1
ssh,41,1
dns,43,3
https,41,1
imaps,9,1
imap,9,1
rdp,60,1
http,45,1
pop3,9,1
imap,56,1
siemens,80,1
mysql,78,3
ntp,30,1
quic-doq,41,1
ntp,2,1
tls,45,1
smtps,9,1
amqp,57,1
mongodb,65,1
imap,78,2
smtp,9,1
quic-doq,9,1
ftp,9,1
postgres,77,1
pop3s,9,1
mqtt,78,2
ftps,76,1
quic-h3,45,1
ssh,30,1
rdp,18,1
dns,30,3
pop3,56,1
siemens,58,1
postgres,2,1
amqp,56,1
mysql,80,1
tls,44,1
quic-h3,44,1
http,44,1
ntp,38,1
ssh,17,1
rdp,5,1
ftp,60,1
https,38,1
smtps,63,3
mssql,56,1
ssh,4,1
amqps,64,1
dns,38,1
https,23,2
amqp,66,1
telnet,79,1
ntp,80,1
ssh,7,1
ntp,8,1
