timestamp,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped
1771115596,4627582065679,22027923962260,46864345011,329116255251,68,0
1771115626,4627582125693,22027923994667,46864345402,329116255597,68,0
1771115656,4627582179453,22027924009123,46864345767,329116255723,68,0
1771115686,4627582236707,22027924024200,46864346019,329116255850,68,0
1771115716,4627582293681,22027924039198,46864346340,329116255980,68,0
1771115746,4627582339530,22027924059100,46864346582,329116256159,68,0
1771115776,4627582381388,22027924075953,46864346790,329116256308,68,0
1771115806,4627584254310,22028265743980,46864373219,329116524427,68,0
1771115836,4627593506000,22028285527124,46864513026,329116824080,68,0
1771115866,4627602751291,22028305308800,46864652778,329117123712,68,0
1771115896,4627612012397,22028325095256,46864792761,329117423414,68,0
1771115926,4627620913271,22028344219406,46864927278,329117713076,68,0
1771115956,4627630370217,22028364673853,46865070185,329118022897,68,0
1771115986,4627639561717,22028384456283,46865209105,329118322536,68,0
1771116016,4627648519990,22028403580338,46865344539,329118612198,68,0
1771116046,4627658095021,22028424030603,46865489253,329118921920,68,0
1771116076,4627667373824,22028443824100,46865629442,329119221687,68,0
1771116106,4627676253983,22028462943810,46865763630,329119511283,68,0
1771116136,4627685835267,22028483393349,46865908457,329119821031,68,0
1771116166,4627695182911,22028503187721,46866049756,329120120855,68,0
1771116196,4627999801246,22028893319974,46871123658,329124264839,68,0
1771116226,4628423101873,22029546836078,46878176670,329130159512,68,0
1771116256,4628439593036,22029607580863,46878450957,329130772538,68,0
1771116286,4628439753393,22029608138186,46878453089,329130779157,68,0
1771116316,4628439809599,22029608156864,46878453409,329130779327,68,0
1771116346,4628439862449,22029608178066,46878453777,329130779522,68,0
1771116376,4628439910409,22029608201053,46878454069,329130779747,68,0
1771116406,4628439951768,22029608215436,46878454269,329130779870,68,0
1771116436,4628439993582,22029608229737,46878454436,329130779990,68,0
1771116466,4628440032508,22029608243273,46878454627,329130780105,68,0
1771116496,4628441311596,22029939353216,46878484652,329131024824,68,0
1771116526,4628475243324,22029959124268,46878986423,329131324289,68,0
1771116556,4628508444353,22029978247798,46879489288,329131613944,68,0
1771116586,4628543736061,22029998015576,46880025210,329131913341,68,0
1771116616,4628580764250,22030018470371,46880588018,329132223164,68,0
1771116646,4628615666504,22030037585660,46881118753,329132512660,68,0
1771116676,4628652116461,22030057377286,46881673150,329132812408,68,0
1771116706,4628689541611,22030077827081,46882242366,329133122159,68,0
1771116736,4628723856822,22030096950359,46882763438,329133411811,68,0
1771116766,4628758979260,22030116743743,46883296127,329133711605,68,0
1771116797,4628794978810,22030137194030,46883841672,329134021361,68,0
1771116827,4628828631268,22030156334448,46884351529,329134311274,68,0
1771116857,4628863504345,22030176099530,46884880067,329134610654,68,0
1771116887,4629513084143,22030632537705,46891702214,329140061218,68,0
1771116917,4630214308181,22031410759088,46902321373,329147455618,68,0
1771116947,4630916475223,22032275662391,46911610394,329154159493,68,0
1771116977,4631538767451,22032844020752,46921199523,329160828906,68,0
1771117007,4632028436086,22033232935543,46927954965,329165325194,68,0
1771117037,4632056812751,22033304489937,46928193904,329165928037,68,0
1771117067,4632060052371,22033305072047,46928214578,329165936399,68,0
1771117097,4632066184198,22033305085749,46928231530,329165936515,68,0
1771117127,4632066584257,22033305099650,46928233125,329165936633,68,0
1771117157,4632066964936,22033305113444,46928234619,329165936749,68,0
1771117187,4632067363070,22033305128379,46928236086,329165936876,68,0
1771117217,4632079150836,22034761800977,46928350966,329167039937,68,0
1771117247,4632089103418,22034781599905,46928501067,329167339760,68,0
1771117277,4632099409031,22034802049244,46928656733,329167649476,68,0
1771117307,4632109151133,22034821184692,46928803771,329167939316,68,0
1771117337,4632123708007,22034840966996,46928964138,329168238954,68,0
1771117367,4632134031505,22034861411938,46929120093,329168548635,68,0
1771117397,4632143947304,22034881194052,46929269915,329168848271,68,0
1771117427,4632153661077,22034900323424,46929416381,329169138005,68,0
1771117457,4632168525380,22034920760126,46929581486,329169447560,68,0
1771117487,4632178412514,22034940547666,46929731221,329169747272,68,0
1771117517,4632188038713,22034959671490,46929876689,329170036931,68,0
1771117547,4632198266421,22034980133038,46930031083,329170346801,68,0
1771117577,4632207341952,22034997705138,46930167962,329170612926,68,0
1771117607,4632655111754,22035599818544,46937624394,329176778079,68,0
1771117637,4632962456914,22036209800236,46942742100,329182159029,68,0
1771117667,4632981780892,22036321004808,46943063244,329183112324,68,0
1771117697,4632982512039,22036321021318,46943074656,329183112469,68,0
