network_address,prefixlen,bgp_prefix,asn,responsive_addresses,port,date,location
15.197.198.0,24,15.197.192.0/20,16509,232,80,20260204,nl-ens
15.197.200.0,24,15.197.192.0/20,16509,232,80,20260204,nl-ens
15.197.201.0,24,15.197.192.0/20,16509,231,80,20260204,nl-ens
15.197.204.0,24,15.197.192.0/20,16509,231,80,20260204,nl-ens
15.197.208.0,24,15.197.208.0/20,16509,235,80,20260204,nl-ens
15.197.209.0,24,15.197.208.0/20,16509,237,80,20260204,nl-ens
15.197.211.0,24,15.197.208.0/20,16509,233,80,20260204,nl-ens
15.197.213.0,24,15.197.208.0/20,16509,237,80,20260204,nl-ens
15.197.223.0,24,15.197.224.0/20,16509,234,80,20260204,nl-ens
15.197.227.0,24,15.197.224.0/20,16509,232,80,20260204,nl-ens
15.197.228.0,24,15.197.224.0/20,16509,234,80,20260204,nl-ens
15.197.229.0,24,15.197.224.0/20,16509,237,80,20260204,nl-ens
15.197.230.0,24,15.197.224.0/20,16509,237,80,20260204,nl-ens
15.197.236.0,24,15.197.224.0/20,16509,235,80,20260204,nl-ens
15.197.239.0,24,15.197.240.0/20,16509,233,80,20260204,nl-ens
15.197.240.0,24,15.197.240.0/20,16509,232,80,20260204,nl-ens
15.197.245.0,24,15.197.240.0/20,16509,234,80,20260204,nl-ens
15.197.250.0,24,15.197.240.0/20,16509,231,80,20260204,nl-ens
15.197.255.0,24,15.204.128.0/17,16276,231,80,20260204,nl-ens
18.154.36.0,24,23.1.35.0/24,33905,256,80,20260204,nl-ens
23.49.58.0,24,23.49.59.0/24,21342,256,80,20260204,nl-ens
23.49.59.0,24,23.53.5.0/24,33905,256,80,20260204,nl-ens
23.56.160.0,24,23.56.161.0/24,21342,255,80,20260204,nl-ens
23.56.161.0,24,23.59.162.0/24,21342,255,80,20260204,nl-ens
23.59.248.0,24,23.59.249.0/24,21342,256,80,20260204,nl-ens
23.59.249.0,24,23.61.199.0/24,21342,256,80,20260204,nl-ens
23.145.208.0,24,23.146.88.0/24,30114,254,80,20260204,nl-ens
23.154.64.0,24,23.155.16.0/24,400011,256,80,20260204,nl-ens
23.156.128.0,24,23.159.216.0/24,17243,255,80,20260204,nl-ens
23.167.152.0,24,23.174.56.0/24,63023,256,80,20260204,nl-ens
23.185.0.0,24,23.191.88.0/24,401320,256,80,20260204,nl-ens
23.216.52.0,24,23.216.53.0/24,21342,255,80,20260204,nl-ens
23.216.53.0,24,23.227.32.0/24,396982,255,80,20260204,nl-ens
23.227.37.0,24,23.227.38.0/23,13335,256,80,20260204,nl-ens
23.227.38.0,24,23.227.38.0/23,13335,256,80,20260204,nl-ens
23.227.39.0,24,23.227.43.0/24,396982,256,80,20260204,nl-ens
23.227.48.0,24,23.227.48.0/23,13335,256,80,20260204,nl-ens
23.227.49.0,24,23.227.50.0/24,396982,256,80,20260204,nl-ens
23.227.60.0,24,23.227.61.0/24,396982,256,80,20260204,nl-ens
23.228.220.0,24,23.228.221.0/24,16509,256,80,20260204,nl-ens
23.228.221.0,24,23.228.222.0/24,16509,256,80,20260204,nl-ens
23.228.222.0,24,23.234.67.0/24,11878,256,80,20260204,nl-ens
23.235.33.0,24,23.235.36.0/24,54113,256,80,20260204,nl-ens
23.235.37.0,24,23.235.42.0/24,54113,256,80,20260204,nl-ens
23.235.42.0,24,23.235.252.0/24,19437,255,80,20260204,nl-ens
23.247.163.0,24,23.253.128.0/19,27357,256,80,20260204,nl-ens
23.253.138.0,24,23.253.160.0/19,19994,248,80,20260204,nl-ens
25.25.25.0,24,25.26.27.0/24,209242,256,80,20260204,nl-ens
25.26.27.0,24,25.129.196.0/23,209242,256,80,20260204,nl-ens
25.129.196.0,24,25.129.196.0/23,209242,256,80,20260204,nl-ens
25.129.197.0,24,25.129.198.0/23,209242,256,80,20260204,nl-ens
25.129.198.0,24,25.129.198.0/23,209242,256,80,20260204,nl-ens
25.129.199.0,24,27.0.235.0/24,205848,256,80,20260204,nl-ens
27.50.48.0,24,27.50.49.0/24,209242,256,80,20260204,nl-ens
27.50.49.0,24,27.123.60.0/24,7280,256,80,20260204,nl-ens
27.126.245.0,24,31.3.3.0/24,21245,252,80,20260204,nl-ens
31.3.3.0,24,31.6.14.0/24,215764,255,80,20260204,nl-ens
31.12.75.0,24,31.22.94.0/24,30893,256,80,20260204,nl-ens
31.43.172.0,24,31.43.173.0/24,211757,255,80,20260204,nl-ens
31.43.173.0,24,31.43.179.0/24,209242,255,80,20260204,nl-ens
31.43.179.0,24,31.57.117.0/24,213633,256,80,20260204,nl-ens
31.185.108.0,24,31.214.212.0/22,34309,256,80,20260204,nl-ens
34.8.0.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.1.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.2.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.3.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.4.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.5.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.6.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.7.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.8.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.9.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.10.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.11.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.12.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.13.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.14.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.15.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.16.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.17.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.18.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.19.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.20.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.21.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.22.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.23.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.24.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.25.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.26.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.27.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.28.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.29.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.30.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.31.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.32.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.33.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.34.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.35.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.36.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.37.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.38.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.39.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
